"yr.observed","site","rain.mean.yr","rain.sum.yr","rain.sum.win","rain.sum.spr","rain.sum.sum","rain.sum.fal","rain.mean.win","rain.mean.spr","rain.mean.sum","rain.mean.fal","mean.NDVI.win","mean.NDVI.spr","mean.NDVI.sum","mean.NDVI.fall","mean.NDVI.year","SOI.mean","SOI.max","SOI.min","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal","NAO.ann.mean","NAO.ann.max","NAO.ann.min","el.nino","nino.strt.str","nino.end.str","la.nino","nina.strt.str","nina.end.str","yr.lagged"
1821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1822
1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15333333333333,-1.77666666666667,-0.926666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1823
1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38333333333333,-0.783333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824
1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.38,-0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1825
1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103333333333333,0.0866666666666667,-0.146666666666667,0.576666666666667,0.16,1.98,-1.31,NA,NA,NA,NA,NA,NA,1826
1826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,0.47,1.28333333333333,-0.94,0.27,4.87,-3.05,NA,NA,NA,NA,NA,NA,1827
1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,0.1,-0.536666666666667,-0.58,-0.45,2.7,-3.72,NA,NA,NA,NA,NA,NA,1828
1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486666666666667,-0.96,-3.24,0.19,-0.88,3.04,-4.4,NA,NA,NA,NA,NA,NA,1829
1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.56666666666667,0.606666666666667,0.626666666666667,-0.0166666666666667,-0.09,1.8,-2.54,NA,NA,NA,NA,NA,NA,1830
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816666666666667,0.726666666666667,1.62666666666667,0.366666666666667,0.88,3.58,-3.13,NA,NA,NA,NA,NA,NA,1831
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0100000000000001,-2.32666666666667,-0.62,0.49,-0.62,2.71,-3.15,NA,NA,NA,NA,NA,NA,1832
